카테고리 대분류필수,카테고리 중분류필수,카테고리 소분류필수,대화명(255 이내) - 필수,"답변내용(4,000자 이내) - 필수",동작방식1,동작명1,동작값1,동작방식2,동작명2,동작값2
가정용보일러인증,인증신청,처리기간,"신규, 파생, 변경 신청 처리 기간","신규, 파생, 변경 신청의 처리기간은 신청서를 접수한 날부터 30일 이내에 인증 여부를 결정해서 통보하고 있어요.단, 서류 보완에 소요되는 기간은 처리기간에 산입하지 않아요",,,,,,
가정용보일러인증,인증정보,국내 판매,해외 제조 제품 국내 판매 가능,해외 수입 제품을 국내에서 판매는 가능해요.단. 국내 대기관리권역에서 판매하기 위해 가정용 보일러 인증을 취득 후 판매해야해요,,,,,,
가정용보일러인증,인증정보,수수료,신청수수료 및 사용료,가정용 보일러 인증은 별도의 신청 수수료와 사용료가 없어요,,,,,,
가정용보일러인증,인증정보,인증 기간,가정용 보일러 인증기간,가정용 보일러인증은 인증기간이 별도로 없어요. 가정용 보일러 인증검사(사후관리)에서 인증 취소가 되지 않으면 인증은 계속 유지됩니다,,,,,,
가정용보일러인증,인증정보,인증 종류,1종과 2종이란, 「대기관리원역의 대기환경개선에 관한 특별법 시행규칙」 [별표5]에 따라 1종과 2종을 구분하고 있어요.1종의 기준이 2종 기준 보다 배출가스 및 열효율이 엄격한 기준이에요. ※ 환경표지인증을 받은 제품은 1종 인증을 받은것으로 봄,,,,,,
가정용보일러인증,인증정보,인증 필수,가정용 보일러 인증 필요한 이유, 「대기관리권역의 대기환경개선에 관한 특별법」시행('20.4.3)에 따라 대기오염 물질의 저감과 관리를 위해 대기관리권역의 제조·공급·판매자 대상으로 가정용보일러 인증이 의무화 되었어요 ,,,,,,
가정용보일러인증,인증정보,인증 필수,가정용 보일러 미인증 시,"인증을 받지 않고 제조·공급·판매한 자는 300만원이하의 과태료 및 1년 이하의 징역, 1천만원 이하의 벌금을 부과받을 수 있습니다.",,,,,,
가정용보일러인증,기타,보조금,정부 보조금 제품 확인 방법,"구매하고자 하는 제품이 보조금 지원 대상인지 여부는 아래를 확인해주세요환경표지인증 홈페이지(http://el.keiti.re.kr)→정보마당→인증현황 자료실→보일러 인증 현황※ 보조금 지원 대상 제품은 환경표지(마크) 친환경 콘덴싱(1종) 보일러만 해당되고, 해당 지자체에 예산 소진여부를 확인해주세요",,,,,,
가정용보일러인증,인증결과,심의결과,최종 심사결과 언제 확인,심사결과는 가정용 보일러 인증심사위원회에서 심사 후 3일 이내에 결과를 알려드리고 있어요,,,,,,
가정용보일러인증,인증결과,인증서 발급,인증서 재발급 방법,인증서 재발급 신청서를 작성하여 한국환경산업기술원으로 제출해주시면 됩니다※ 가정용 보일러의 인증 및 검사에 관한 고시 [별지 제1호] 서식,,,,,,
가정용보일러인증,인증결과,인증서 발급,인증서 발급 방법,인증서는 한국환경산업기술원에서 인증서를 날인하여 신청인에게 우편으로 직접 발송하고 있어요,,,,,,
가정용보일러인증,인증신청,변경신청,공장소재지 변경 시,가정용 보일러 생산 공장이 변경 됬을 때 변경신청서와 첨부자료를 한국환경산업기술원으로 아래 서류를 제출해주시면 됩니다1. 사업자등록증 사본2. 인증서 원본3. 공장등록증 등의 자료,,,,,,
가정용보일러인증,인증신청,변경신청,부품 변경 및 추가 시 신고,"인증된 제품의 부품이 변경 되거나 추가 될 때에는 한국환경산업기술원으로 신고하여야 해요. 다만, 아래의 주요부품 변경/추가의 경우에는 별도의 시험이 필요해요1. 버너2. 가스밸브(거버너포함)3. 안전장치4. 열교환기5. 팬6. 전자제어장치",,,,,,
가정용보일러인증,인증신청,변경신청,회사 합병 인수 시,가정용 보일러 생산기업이 변경 됬을 때 변경신청서와 첨부자료를 한국환경산업기술원으로 아래 서류를 제출해주시면 됩니다1. 사업자등록증 사본2. 합병 인수 관련 계약서 등의 자료,,,,,,
가정용보일러인증,인증신청,신규신청,가정용 보일러 인증 신청 서류,"가정용 보일러 인증 신청시 아래 제출 서류를 한국환경산업기술원으로 온라인(메일)로 스캔본을 제출해주시고, 신청서류 원본은 오프라인으로 제출해주시면 됩니다1. 인증신청서(공문)2. 시험성적서(가정용 보일러 인증용)3. 구조·성능·내구성 등에 관한 설명서4. 판매 및 사후관리체계에 관한 설명서5. 제품보증에 관한 서류6. 기타 증빙자료※ 자세한 내용은 홈페이지(http://el.keiti.re.kr) 자료실(기타)에 게시되어 있는 ""가정용 보일러 인증신청 가이드라인""을 참고해주세요",웹링크,바로가기,http://el.keiti.re.kr/service/page.domMenu=6&sMenu=10,,,
가정용보일러인증,인증신청,신규신청,파생제품 신청 방법,"파생제품 인증 신청할 때는 아래 제출 서류를 한국환경산업기술원으로 온라인(메일)로 스캔본을 제출해주시고, 신청서류 원본은 오프라인으로 제출해주시면 됩니다1. 인증신청서2. 파생신청모델의 기본모델과의 차이 설명서 등※ 자세한 내용은 홈페이지(http://el.keiti.re.kr) 자료실(기타)에 게시되어 있는 ""가정용 보일러 인증신청 가이드라인""을 참고해주세요",웹링크,바로가기,http://el.keiti.re.kr/service/page.domMenu=6&sMenu=10,,,
가정용보일러인증,인증정보,인증 제품,가정용 보일러 인증 업체 및 제품 확인방법,가정용 보일러 인증 중인 업체와 제품은 환경표지인증 홈페이지(http://el.keiti.re.kr) → 정보마당 → 인증현황 자료실 → 보일러 인증 현황에서 최근 환경표지인증제품 목록을 확인해 주세요,,,,,,
녹색구매·제품정보,계정관리 및 로그인,(공공기관용)기관등록,기관등록 신청 방법,녹색구매정보시스템 이용을 위해서는 기관등록이 필수입니다. 기관등록을 위해서 아래와 같이 기관등록 신청을 진행해주세요.녹색구매정보시스템 접속 → [기관등록] 클릭 → 신청자 정보 및 등록대상기관 정보 입력 → 차상위기관은 신청기관의 상위기관 입력하여 신청가능합니다.,웹링크,바로가기,https://gd.greenproduct.go.kr:8447/web/orgn/organRegist.do,,,
녹색구매·제품정보,계정관리 및 로그인,(공공기관용)기관등록,기관정보 변경 방법,녹색구매정보시스템에서 변경 전 기관명으로 로그인 → 기관/회원 탭 이동 → 기관정보 변경 신청※ 기관코드는 동일하나 기관명만 변경된 경우에는  게시판 또는 유선으로 요청할 수 있습니다.,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,계정관리 및 로그인,(공공기관용)기관등록,기관코드 확인 방법,"기관코드를 모르는 경우엔 기관코드 검색을 통해 확인할 수 있습니다.1) 나라장터 접속 →""입찰공고"" 검색의 기관명에 ""수요기관"" 선택 후 돋보기 클릭 → 수요기관명 입력 후 검색2) 1)의 방법으로 조회되지 않을 경우, ""기관등록신청"" 메뉴의 [행안부 기관코드검색] 버튼 클릭 → 기관명 입력 후 조회",웹링크,1) 조달청 수요기관 코드 검색 바로가기2) 행안부 기관코드검색 바로가기,1) http://www.g2b.go.kr/index.jsp2) https://www.code.go.kr/index.do,,,
녹색구매·제품정보,계정관리 및 로그인,(공공기관용)기관등록,로그인 시 기관조회 불가능(신규기관),"로그인 시 기관조회가 되지않는 신규기관의 경우, 기관등록신청을 진행해주세요.녹색구매정보시스템 접속→ [기관등록] 클릭 → 기관등록신청 진행",웹링크,바로가기,https://gd.greenproduct.go.kr:8447/web/orgn/organRegist.do,,,
녹색구매·제품정보,계정관리 및 로그인,(공공기관용)기관등록,로그인 시 기관조회 불가능(기관코드 변경),기관코드가 변경되어 로그인 시 기관조회가 되지 않는 경우는 기관정보 변경신청을 해주세요.녹색구매정보시스템에서 변경 전 기관명으로 로그인 → 기관/회원 탭 이동 → 기관정보 변경 신청해야 합니다.※ 기관코드는 동일하나 기관명만 변경된 경우 게시판 또는 유선 요청,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,계정관리 및 로그인,(공공기관용)회원가입 및 로그인,녹색구매정보시스템 아이디 분실 시,"녹색구매정보시스템 아이디를 분실 하였을 경우 '기관담당자 검색 로그인' 기능을 이용하여 아이디를 찾을 수 있습니다.녹색구매정보시스템 접속 → [로그인] 클릭 → 기관담당자 검색 로그인 탭 → ""기관명""에 소속기관명 입력 → [돋보기] 클릭 → 팝업창에서 기관명 클릭 → 담당자 선택 후 비밀번호 입력하여 로그인",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,계정관리 및 로그인,(공공기관용)회원가입 및 로그인,로그인 오류발생 시,로그인 오류 발생 시 대체 브라우저 사용 권장을 권장하고 있습니다.※ 대체 브라우저 사용 시에도 오류가 발생할 경우에는 아래 [바로전화] 버튼을 클릭하여  문의바랍니다.,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,계정관리 및 로그인,(공공기관용)회원가입 및 로그인,담당자 변경 시 회원가입,"인사이동 등으로 담당자가 변경된 경우, 반드시 신규 담당자가 회원가입을 진행해야 합니다.",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,계정관리 및 로그인,(공공기관용)회원가입 및 로그인,소속기관 변경 시 회원가입,"인사이동 등으로 소속기관이 변경된 경우,이전 소속기관으로 로그인하여 회원탈퇴 진행 → 현재 소속기관으로 회원가입하여 이용할 수 있습니다.",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,계정관리 및 로그인,(업체용)회원가입 및 로그인,녹색제품 업체 회원가입,"별도 회원가입은 없으며, 환경표지인증시스템에서 사용하는 계정과 동일합니다.",,,,,,
녹색구매·제품정보,계정관리 및 로그인,(공공기관용)회원가입 및 로그인,회원탈퇴 방법,녹색구매정보시스템 접속 → 로그인 → 기관/회원 탭 이동 → 회원탈퇴,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,실적제출 기타문의,"""구매실적 환경부 제출 완료"" 팝업창",최상위기관에서 하위기관을 포함한 합산실적을 환경부 제출한 상태이므로 기관에서 별도의 실적 제출을 진행하지 않아도 무방합니다.,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,녹색구매인정요청,절차,녹색구매 인정요청은 다음과 같은 순서로 진행해야 합니다.녹색구매정보시스템 접속 → 로그인 → 실적수정 탭 이동→ 녹색구매 인정요청 메뉴 이동 후 증빙서류를 첨부하여 실적 인정요청,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,녹색구매인정요청,필요증빙,"기존에 연계된 실적을 녹색구매로 인정받기 위해선 아래의 증빙서류를 포함하여 녹색구매 인정요청을 진행해야 합니다.1. 구매실적 수정요청 사유서2. 계약서3. 분할납품요구 및 통지서4. 납품확인서5. 검사검수요청서6. 기타 인정사유를 입증할 수 있는 서류※ 단, 신청하는 사유에 따라 필요한 증빙은 다를 수 있습니다. 요청하는 사유에 해당하는 증빙자료를 첨부하여 신청해야 합니다.",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,실적제출 사유입력,증감사유 입력,"구매실적 최상위기관 제출 시, 전년도 구매실적 대비 30%이상 감소 또는 50%이상 증가한 경우에는 증감사유를 제출하도록 시스템 상 화면이 자동 전환되므로 해당되는 기관만 사유 작성 후 제출하면 됩니다.",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,실적제출 사유입력,미구매사유 입력,"구매실적 최상위기관 제출 시,품목별 실적이 전년도 구매계획 대비 3%이상 저조한 경우에는 미구매 사유를 제출하도록 시스템상 화면이 자동 전환되므로 해당되는 기관만 사유 작성 후 제출하면 됩니다.",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,신규실적추가요청,절차,신규실적 추가요청은 다음과 같은 순서로 진행해야 합니다.녹색구매정보시스템 접속 → 로그인 → 실적수정 탭 이동 → 신규실적 추가요청 메뉴 이동 후 증빙서류를 첨부하여 실적 추가요청,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,신규실적추가요청,필요증빙,"중앙조달 외 기관에서 구매한 실적에 대해서 녹색구매 실적집계를 위해선 아래의 증빙서류를 포함하여 신규실적 추가요청을 진행해야 합니다.1. 구매실적 수정요청 사유서2. 계약서(구매요청서)3. 인증상표명이 명시된 세금계산서, 거래명세서4. 인증서(환경표지, GR, 저탄소제품)",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,실적제출방법,(하위기관)구매실적 제출방법,녹색구매정보시스템을 이용하여 집계된 실적을 제출 할 수 있습니다.녹색구매정보시스템 접속 → 로그인 → 구매실적 탭 이동 → 최상위기관 제출 메뉴에서 [최상위기관 제출] 클릭,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,실적제출방법,(최상위기관)구매실적 제출방법,"최상위기관에서는 다음의 순서로 구매실적을 제출해야합니다.1) 녹색구매정보시스템 접속 → 로그인 → 구매실적 탭 이동 → 최상위기관 제출 메뉴에서 [최상위기관 제출] 클릭2) 기관총계 및 환경부제출 탭 이동 → ""환경부 제출"" 클릭 시  하위기관을 포함한 합산실적 제출",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,실적제출확인,하위기관 제출실적 확인방법,"녹색구매정보시스템을 통해 하위기관의 구매실적 제출여부를 확인할 수 있습니다.녹색구매정보시스템 접속 → 로그인 → 구매실적 탭 이동 → 기관총계 및 환경부제출 탭 이동 → ""구매실적 제출상태"" 확인",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,조달실적예외요청,절차,조달실적 예외요청은 다음과 같은 순서로 진행해야 합니다.녹색구매정보시스템 접속 → 로그인 → 실적수정 탭 이동 → 기존실적 예외요청 메뉴 이동 후 증빙서류를 첨부하여 실적 예외요청,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매실적,조달실적예외요청,필요증빙,"기존 연계된 실적의 예외를 위해서는 아래의 증빙서류를 포함하여 조달실적 예외요청을 진행해야 합니다.1. 구매실적 수정요청 사유서2. 계약서3. 분할납품요구 및 통지서4. 그 외 예외사유를 입증할 수 있는 서류※ 단, 신청하는 사유에 따라 필요한 증빙은 다를 수 있습니다. 요청하는 사유에 해당하는 증빙자료를 첨부하여 신청해야 합니다.",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매계획,공표방법,구매계획 공표방법,"한국환경산업기술원의 승인된 계획을 공문시행하거나 또는 기관 홈페이지 게시한 후 해당 내역을 녹색구매정보시스템 ""구매계획공표"" 탭 → 계획공표입력 메뉴에서 입력하면 됩니다.※ 구매계획 공표는 최상위기관만 가능합니다.",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매계획,제출방법,제출방법(하위기관),녹색구매정보시스템을 이용하여 녹색제품 구매이행계획을 제출할 수 있습니다.녹색구매정보시스템 접속 → 로그인 → 구매계획 탭 이동 → 계획입력 메뉴에서 품목별 구매계획 수량 및 금액(원 단위) 작성 후 저장 → 제출(상위기관),전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)구매계획,제출방법,제출방법(최상위기관),최상위 기관에서는 다음의 순서로 녹색제품 구매이행계획을 제출해야합니다.1) 녹색구매정보시스템 접속 → 로그인 → 구매계획 탭 이동→ 계획입력 메뉴 → 최상위기관 본청의 구매계획 작성 후 저장 → 등록2) 계획승인 및 반려 메뉴 이동 → 하위기관에서 제출한 계획 확인 후 승인3) 계획합산 및 제출 메뉴 이동 → 본청 및 하위기관의 계획 합산하기 →  저장 후 제출,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)교육,구매지침 교육,신청교육 취소,신청한 교육 취소를 원한다면 아래와 같이 이동하여 취소 할 수 있습니다.녹색구매정보시스템 접속 → [구매교육] 클릭 → 교육신청확인 클릭 → 휴대폰 본인인증 → 신청내역 조회 → 이전 신청한 교육 중 취소하고자 하는 교육을 선택하여 취소할 수 있습니다.,웹링크,바로가기,https://gd.greenproduct.go.kr:8447/web/educ/eduList.do,,,
녹색구매·제품정보,(공공기관용)교육,구매지침 교육,신청방법,"※ 교육신청이 가능한 시기(사전 공문시행)에 온라인 신청할 수 있습니다.녹색구매정보시스템 접속 → [구매교육] 클릭 → 원하는 교육(일자, 장소 등 확인) 선택 → 신청자 정보 입력(휴대폰 인증 필수)하여 신청할 수 있습니다.",웹링크,바로가기,https://gd.greenproduct.go.kr:8447/web/educ/eduList.do,,,
녹색구매·제품정보,(공공기관용)교육,구매지침 교육,이수증 출력(로그인 전),"녹색구매정보시스템에 로그인하지 않은 경우라면, 다음과 같이 녹색제품 구매지침 교육 이수증을 출력할 수 있습니다.녹색구매정보시스템 접속 → [구매교육] 클릭 → ""교육신청확인"" 클릭 → 휴대폰 본인인증 → 신청내역 조회→  이수한 교육 클릭 → 교육이수증 발급 버튼 클릭 → 교육설문조사 → 이수증 출력",웹링크,바로가기,https://gd.greenproduct.go.kr:8447/web/educ/eduList.do,,,
녹색구매·제품정보,(공공기관용)교육,구매지침 교육,이수증 출력(로그인 후),"녹색구매정보시스템에 로그인한 경우라면, 다음과 같이 녹색제품 구매지침 교육 이수증을 출력할 수 있습니다.녹색구매정보시스템 접속 → 로그인 → 교육/워크샵 탭 이동 → 교육신청 확인 메뉴에서 휴대폰 본인인증 → 신청내역 조회 → 이수한 교육 클릭 → 교육이수증 발급 버튼 클릭 → 교육설문조사 → 이수증 출력",전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)교육,온라인 상시교육,신청방법,"※  교육신청이 가능한 시기(사전 공문시행)에 온라인 신청사이버환경실무교육(konetic.ecoedu.go.kr) 접속 → 로그인 후 상단의 [수강신청] 클릭 → ""기업단체위탁교육과정"" 클릭 → ""공공기관 녹색제품 의무구매제도 교육"" 신청 → 인증키(매월 공문시행 시 제공) 입력 후 신청",웹링크,바로가기,https://konetic.ecoedu.go.kr/web/main/layout.do,,,
녹색구매·제품정보,(공공기관용)교육,온라인 상시교육,회원가입 시 기관 조회 불가,사이버환경실무교육(konetic.ecoedu.go.kr) 회원가입 시 기관이 아닌 개인으로 가입해야합니다.,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(공공기관용)교육,온라인 상시교육,이수증 출력,온라인 상시교육 이수증 출력을 위해선 다음과 같이 이수증을 출력할 수 있습니다.사이버환경실무교육 접속 → 내강의실 → 종료과정 → 이수완료한 교육 옆에 [수료] 클릭 → 이수증 출력,전화걸기,바로전화,02-2284-1065,,,
녹색구매·제품정보,(업체용)제품연계,제품정보,녹색제품 제품정보 등록 방법,환경표지 인증받고나서 조달청과 연계하기 위해서 식별번호 등록을 해주셔야 해요. 등록하는 방법을 안내해 드릴게요.'인증기업용' 메뉴 이동 → 로그인 → 인증제품 정보란 정보수정 클릭 → 수정할 제품 선택 → 입력 후 승인요청,웹링크,바로가기,http://www.greenproduct.go.kr/web/square/communityDet.do,,,
녹색구매·제품정보,(업체용)제품연계,조달연계,조달청 연계 방법,녹색제품정보시스템 인증제품 정보수정 메뉴에서 조달청(나라장터)과의 연계키로 사용하는 G2B식별번호(8자리) 등록해주셔야 해요.,웹링크,바로가기,http://www.greenproduct.go.kr/web/square/communityDet.do,,,
녹색구매·제품정보,(업체용)제품연계,조달연계,조달청 연계 오류,"녹색제품정보시스템에서 식별번호 등록해야 연계되며, 조달청에 등록된 제품명과 환경표지인증서상 제품명이 동일해요.",웹링크,바로가기,http://www.greenproduct.go.kr/web/square/communityDet.do,,,
녹색구매·제품정보,(업체용)제품연계,조달연계,모델명 불일치,"같은 제품이나 불가피하게 모델명이 다른 경우, 제품 정보수정에서 승인요청해주시면 돼요.",웹링크,바로가기,http://www.greenproduct.go.kr/web/square/communityDet.do,,,
환경정보공개,검증위원,선발·위촉과정,환경정보 검증위원 선발 과정,한국환경산업기술원 홈페이지 또는 환경정보공개시스템을 통해 검증위원 선발공고가 게재됩니다. 검증위원 지원을 원하는 분은 신청서를 작성하여 환경정보공개시스템을 통해 신청서와 자격 및 경력사항에 대한 증빙자료를 제출하면 됩니다. 선발기준은 환경정보 공개제도 운영규정 제8조 또는 별표3을 준용합니다.,,,,,,
환경정보공개,검증위원,선발·위촉과정,환경정보 검증위원 현장확인 참여 조건,"검증위원으로 선발되면 기초교육과 보수교육을 이수한 뒤 평가에 합격한 뒤에 현장확인을 수행할 수 있습니다. 평가는 필기 60점, 실기 40점으로 이루어지며 총점 60점 이상, 과목별 50% 이상 득점시 합격하여 당해연도 현장확인에 참여할 수 있습니다.",,,,,,
환경정보공개,검증위원,선발·위촉과정,환경정보 검증위원 교육,"검증위원 교육은 크게 기초교육과 보수교육으로 나눌 수 있습니다. 기초교육은 온라인 학점이수제로 운영되며, 사이버환경실무교육 홈페이지에서 ""환경정보 검증위원 온라인 교육""을 수료하면 됩니다. 보수교육은 연 1회 대면교육 방식으로 운영되며, 검증기준 및 시스템 사용방법 등의 교육이 이루어집니다.",,,,,,
환경정보공개,검증위원,수행업무,선임 검증위원 업무,"선임 검증위원은 현장확인 전체를 책임지고 수행하게 되며, 현장확인 수행 이전에 사전검토서를 작성하고 일반 검증위원 작성내용과 취합하며, 현장확인 시 항목별 체크리스트를 작성하고, 현장확인 종료 후에는 현장확인 결과보고서를 작성 제출해야 합니다.",,,,,,
환경정보공개,검증위원,수행업무,선임/일반 검증위원 ,"환경정보 검증위원으로 선발되면 검증위원 ""후보""가 되며, 현장확인 수행 시 평가 80점 이상의 경우 ""일반""검증위원으로 최종 확정됩니다. 일반 검증위원으로 2년이상 활동하며 현장확인 20회 이상 수행시에는 선임검증위원으로 승격될 수 있습니다. ",,,,,,
환경정보공개,검증위원,수행업무,환경정보 검증위원 업무,"검증위원은 기업,기관이 등록한 정보의 검증을 위한 현장확인을 수행하게 됩니다. 기업에 직접 방문하여, 환경정보 공개시스템에 등록된 정보의 실제 운영여부를 확인하여 보고서를 작성하고, 수정이 필요한 정보는 기업이 직접 수정하도록 유도한 뒤, 정보의 적합여부를 검증해야 합니다.",,,,,,
환경정보공개,기타,교육,교육별 진행시기,"거점별 집합교육은 매년 6월초에, 현장맞춤형 교육과 1:1맞춤형 교육은 상시 진행하고 있습니다.",,,,,,
환경정보공개,기타,교육,교육 신청 방법,환경정보공개시스템(www.env-info.kr) 소통마당-교육신청 에서 교육일정 확인 후 신청해주시면 됩니다.,,,,,,
환경정보공개,기타,교육,교육비 지불 여부,현재까지는 무료로 진행되고 있으니 따로 지불하실 필요 없습니다.,,,,,,
환경정보공개,기타,교육,교육 종류,"거점별 집합교육, 현장맞춤형 교육, 1:1 맞춤형 교육이 있습니다.",,,,,,
환경정보공개,기타,비공개 신청,비공개 신청방법 및 절차,비공개 신청은 반드시 환경정보공개시스템에서 환경정보 등록 기한 내(매년 6월 말)에 환경정보 등록과 같이 해야 하며 신청서에 비공개 신청항목과 그 사유를 상세히 작성해주셔야 합니다. 환경정보 비공개 여부는 기업·기관에서 제출하신 서류와 소명발표를 기준으로 「환경정보공개제도 운영규정」제7조에 의거 관련 업계의 전문가로 구성된 비공개 심의 위원회의 심의 결과에 따라 최종 공개여부가 결정됩니다.,,,,,,
환경정보공개,기타,비공개 신청,비공개 신청시기,비공개심의 신청 기간은 환경정보 공개등록 기간과 동일한 매년 6월 30일까지입니다.,,,,,,
환경정보공개,기타,비공개 신청,비공개 신청 가능한 경우,「환경정보 공개제도 운영규정」 제14조에 따라 기업·기관의 공개 항목 중 영업비밀 등의 사유가 인정되는 정보는 비공개가 가능합니다.,,,,,,
환경정보공개,서류 및 현장검증,검증대상,현장검증 대상 기업·기관,"「환경기술 및 환경산업 지원법」제33조의14 제2항에 의거 현장검증을 진행하며, 내용은 다음과 같습니다.한국환경산업기술원장은 제1항에 따라 환경정보를 검증하기 위하여 환경정보검증시스템에 공개된 내용을 검토하되, 필요한 경우 현장 확인을 실시합니다. 모든 기업·기관은 현장검증의 대상이 될 수 있으지만 상장사 중심으로 현장검증을 진행하게 됩니다.",,,,,,
환경정보공개,서류 및 현장검증,검증대상,타 제도에서 검증된 정보도 검증 대상 포함,"타 제도에 의해 검증된 정보는 증빙서류를 제출하시면 갈음이 됩니다.(온실가스종합정보시스템, 올바로시스템 등)",,,,,,
